	batch	clockTime	flow rate	gamma	H2O2	illumination	overexpression	knockout	media-to-flask-volume-ratio	mevinolin	NaCl	Optical density (600nm)	Optical density (600nm) for NRC1d	Optical density (600nm) for NRC1e	Optical density (600nm) for NRC1g	Optical density for NRC-1e	Optical density for NRC-1h1	overexpressed gene	Oxoid peptone	oxygen	shaking	paraquat	pH	tag	temperature	time
20050620_Cmyc_tfbE_rep2_0.383_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG6389G	0.5	20	0	0.383	0	0	0	0	0	tfbE	1	0	220	0	0	cmyc	37	1800
20050620_Cmyc_tfbE_rep2_1.042_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG6389G	0.5	20	0	1.042	0	0	0	0	0	tfbE	1	0	220	0	0	cmyc	37	2520
20050620_Cmyc_tfbE_rep1_0.113_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG6389G	0.5	20	0	0.113	0	0	0	0	0	tfbE	1	0	220	0	0	cmyc	37	1260
20050620_Cmyc_tfbE_rep1_0.378_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG6389G	0.5	20	0	0.378	0	0	0	0	0	tfbE	1	0	220	0	0	cmyc	37	1800
20050620_Cmyc_tfbE_rep1_1.142_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG6389G	0.5	20	0	1.142	0	0	0	0	0	tfbE	1	0	220	0	0	cmyc	37	2520
20050620_Cmyc_tfbD_rep2_0.153_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0869G	0.5	20	0	0.153	0	0	0	0	0	tfbD	1	0	220	0	0	cmyc	37	1260
20050620_Cmyc_tfbD_rep2_0.334_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0869G	0.5	20	0	0.334	0	0	0	0	0	tfbD	1	0	220	0	0	cmyc	37	1800
20050620_Cmyc_tfbD_rep2_0.922_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0869G	0.5	20	0	0.922	0	0	0	0	0	tfbD	1	0	220	0	0	cmyc	37	2520
20050620_Cmyc_tfbD_rep1_0.156_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0869G	0.5	20	0	0.156	0	0	0	0	0	tfbD	1	0	220	0	0	cmyc	37	1260
20050620_Cmyc_tfbD_rep1_0.336_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0869G	0.5	20	0	0.336	0	0	0	0	0	tfbD	1	0	220	0	0	cmyc	37	1800
20050620_Cmyc_tfbD_rep1_0.944_vs_NRC-1d.sig	0	0	0	0	0	light	0	VNG0869G	0.5	20	0	0.944	0	0	0	0	0	tfbD	1	0	220	0	0	cmyc	37	2520
20050620_Cmyc_rep2_0.177_vs_NRC-1d.sig	0	0	0	0	0	light	0	0	0.5	20	0	0.177	0	0	0	0	0	none	1	0	220	0	0	cmyc	37	1260
20050620_Cmyc_rep2_0.457_vs_NRC-1d.sig	0	0	0	0	0	light	0	0	0.5	20	0	0.457	0	0	0	0	0	none	1	0	220	0	0	cmyc	37	1800
20050620_Cmyc_rep2_1.072_vs_NRC-1d.sig	0	0	0	0	0	light	0	0	0.5	20	0	1.072	0	0	0	0	0	none	1	0	220	0	0	cmyc	37	2520
20050620_Cmyc_rep1_0.207_vs_NRC-1d.sig	0	0	0	0	0	light	0	0	0.5	20	0	0.207	0	0	0	0	0	none	1	0	220	0	0	cmyc	37	1260
20050620_Cmyc_rep1_0.474_vs_NRC-1d.sig	0	0	0	0	0	light	0	0	0.5	20	0	0.474	0	0	0	0	0	none	1	0	220	0	0	cmyc	37	1800
20050620_Cmyc_rep1_1.052_vs_NRC-1d.sig	0	0	0	0	0	light	0	0	0.5	20	0	1.052	0	0	0	0	0	none	1	0	220	0	0	cmyc	37	2520
NRC-1e_vs_NRC-1h1.sig	e_h1	0	0	0	0	light	0	0	0	0	0	0	0	0	0	0.74	0.482	0	1	0	220	0	0	0	37	0
H2O2_Recov._set_1_0mM_000min_vs_NRC-1d.sig	0	0	0	0	0	Light	0	0	0	0	0	0.2569	0	0	0	0	0	0	1	0	220	0	0	0	42	0
H2O2_Recov._set_1_0mM_010min_vs_NRC-1d.sig	0	0	0	0	0	Light	0	0	0	0	0	0.2658	0	0	0	0	0	0	1	0	220	0	0	0	42	10
H2O2_Recov._set_1_0mM_020min_vs_NRC-1d.sig	0	0	0	0	0	Light	0	0	0	0	0	0.2725	0	0	0	0	0	0	1	0	220	0	0	0	42	20
H2O2_Recov._set_1_0mM_030min_vs_NRC-1d.sig	0	0	0	0	0	Light	0	0	0	0	0	0.261	0	0	0	0	0	0	1	0	220	0	0	0	42	30
H2O2_Recov._set_1_0mM_040min_vs_NRC-1d.sig	0	0	0	0	0	Light	0	0	0	0	0	0.2686	0	0	0	0	0	0	1	0	220	0	0	0	42	40
H2O2_Recov._set_1_0mM_050min_vs_NRC-1d.sig	0	0	0	0	0	Light	0	0	0	0	0	0.2798	0	0	0	0	0	0	1	0	220	0	0	0	42	50
H2O2_Recov._set_1_0mM_060min_vs_NRC-1d.sig	0	0	0	0	0	Light	0	0	0	0	0	0.2847	0	0	0	0	0	0	1	0	220	0	0	0	42	60
H2O2_Recov._set_1_0mM_120min_vs_NRC-1d.sig	0	0	0	0	0	Light	0	0	0	0	0	0.3146	0	0	0	0	0	0	1	0	220	0	0	0	42	120
H2O2_Recov._set_1_50mM_000min_vs_NRC-1d.sig	0	0	0	0	0.05	Light	0	0	0	0	0	0.2666	0	0	0	0	0	0	1	0	220	0	0	0	42	0
H2O2_Recov._set_1_50mM_010min_vs_NRC-1d.sig	0	0	0	0	0.05	Light	0	0	0	0	0	0.2773	0	0	0	0	0	0	1	0	220	0	0	0	42	10
H2O2_Recov._set_1_50mM_020min_vs_NRC-1d.sig	0	0	0	0	0.05	Light	0	0	0	0	0	0.2791	0	0	0	0	0	0	1	0	220	0	0	0	42	20
H2O2_Recov._set_1_50mM_030min_vs_NRC-1d.sig	0	0	0	0	0.05	Light	0	0	0	0	0	0.2533	0	0	0	0	0	0	1	0	220	0	0	0	42	30
H2O2_Recov._set_1_50mM_040min_vs_NRC-1d.sig	0	0	0	0	0.05	Light	0	0	0	0	0	0.2522	0	0	0	0	0	0	1	0	220	0	0	0	42	40
H2O2_Recov._set_1_50mM_050min_vs_NRC-1d.sig	0	0	0	0	0.05	Light	0	0	0	0	0	0.2702	0	0	0	0	0	0	1	0	220	0	0	0	42	50
H2O2_Recov._set_1_50mM_060min_vs_NRC-1d.sig	0	0	0	0	0.05	Light	0	0	0	0	0	0.2689	0	0	0	0	0	0	1	0	220	0	0	0	42	60
H2O2_Recov._set_1_50mM_120min_vs_NRC-1d.sig	0	0	0	0	0.05	Light	0	0	0	0	0	0.2757	0	0	0	0	0	0	1	0	220	0	0	0	42	120
KO_asnC.2_0.1825_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1377G	0	0	250	0.1825	0	0	0	0	0	0	0	0	0	0	6.8	0	37	15.35
KO_asnC.2_0.2809_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1377G	0	0	250	0.2809	0	0	0	0	0	0	0	0	0	0	6.8	0	37	26.45
KO_asnC.2_0.6128_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1377G	0	0	250	0.6128	0	0	0	0	0	0	0	0	0	0	6.8	0	37	44
KO_asnC.2_1.3133_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1377G	0	0	250	1.3133	0	0	0	0	0	0	0	0	0	0	6.8	0	37	63.617
KO_trh2.2_0.1864_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1285G	0	0	250	0.1864	0	0	0	0	0	0	0	0	0	0	6.8	0	37	15.35
KO_trh2.2_0.3121_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1285G	0	0	250	0.3121	0	0	0	0	0	0	0	0	0	0	6.8	0	37	26.45
KO_trh2.2_0.5883_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1285G	0	0	250	0.5883	0	0	0	0	0	0	0	0	0	0	6.8	0	37	44
KO_trh2.2_1.1865_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1285G	0	0	250	1.1865	0	0	0	0	0	0	0	0	0	0	6.8	0	37	63.617
KO_trh4.1_0.1572_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG2094G	0	0	250	0.1572	0	0	0	0	0	0	0	0	0	0	6.8	0	37	15.35
KO_trh4.1_0.2633_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG2094G	0	0	250	0.2633	0	0	0	0	0	0	0	0	0	0	6.8	0	37	26.45
KO_trh4.1_0.4315_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG2094G	0	0	250	0.4315	0	0	0	0	0	0	0	0	0	0	6.8	0	37	44
KO_trh4.1_0.5223_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG2094G	0	0	250	0.5223	0	0	0	0	0	0	0	0	0	0	6.8	0	37	63.617
KO_asnC_0.1774_vs_NRC-1h1.sig	0	0	0	0	0	0	0	VNG1377G	0	0	250	0.1774	0	0	0	0	0	0	0	0	0	0	6.8	0	37	15.35
KO_asnC_0.2829_vs_NRC-1h1.sig	0	0	0	0	0	0	0	VNG1377G	0	0	250	0.2829	0	0	0	0	0	0	0	0	0	0	6.8	0	37	26.45
KO_asnC_0.6051_vs_NRC-1h1.sig	0	0	0	0	0	0	0	VNG1377G	0	0	250	0.6051	0	0	0	0	0	0	0	0	0	0	6.8	0	37	44
KO_asnC_1.3076_vs_NRC-1h1.sig	0	0	0	0	0	0	0	VNG1377G	0	0	250	1.3076	0	0	0	0	0	0	0	0	0	0	6.8	0	37	63.617
KO_trh2.1_0.1814_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1285G	0	0	250	0.1814	0	0	0	0	0	0	0	0	0	0	6.8	0	37	15.35
KO_trh2.1_0.3088_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1285G	0	0	250	0.3088	0	0	0	0	0	0	0	0	0	0	6.8	0	37	26.45
KO_trh2.1_0.5662_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1285G	0	0	250	0.5662	0	0	0	0	0	0	0	0	0	0	6.8	0	37	44
KO_trh2.1_1.2145_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1285G	0	0	250	1.2145	0	0	0	0	0	0	0	0	0	0	6.8	0	37	63.617
NRC-1.2_0.1684_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	0	0	0	250	0.1684	0	0	0	0	0	0	0	0	0	0	6.8	0	37	15.35
NRC-1.2_0.3063_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	0	0	0	250	0.3063	0	0	0	0	0	0	0	0	0	0	6.8	0	37	26.45
NRC-1.2_0.3895_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	0	0	0	250	0.3895	0	0	0	0	0	0	0	0	0	0	6.8	0	37	44
NRC-1.2_1.1065_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	0	0	0	250	1.1065	0	0	0	0	0	0	0	0	0	0	6.8	0	37	63.617
KO_trh3_0.2946_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1816G	0	0	250	0.2946	0	0	0	0	0	0	0	0	0	0	6.8	0	37	26.45
KO_trh3_0.5791_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1816G	0	0	250	0.5791	0	0	0	0	0	0	0	0	0	0	6.8	0	37	44
KO_trh3_1.3116_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1816G	0	0	250	1.3116	0	0	0	0	0	0	0	0	0	0	6.8	0	37	63.617
KO_trh3_0.1968_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1816G	0	0	250	0.1968	0	0	0	0	0	0	0	0	0	0	6.8	0	37	15.35
KO_trh4.2_0.1729_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG2094G	0	20	250	0.1729	0	0	0	0	0	0	0	0	0	0	6.8	0	37	15.35
KO_trh4.2_0.279_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG2094G	0	20	250	0.279	0	0	0	0	0	0	0	0	0	0	6.8	0	37	26.45
KO_trh4.2_0.4373_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG2094G	0	20	250	0.4373	0	0	0	0	0	0	0	0	0	0	6.8	0	37	44
KO_trh4.2_0.5434_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG2094G	0	20	250	0.5434	0	0	0	0	0	0	0	0	0	0	6.8	0	37	63.617
KO_ura3.1_0.1857_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1673G	0	0	250	0.1857	0	0	0	0	0	0	0	0	0	0	6.8	0	37	15.35
KO_ura3.1_0.3501_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1673G	0	0	250	0.3501	0	0	0	0	0	0	0	0	0	0	6.8	0	37	26.45
KO_ura3.1_0.4424_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1673G	0	0	250	0.4424	0	0	0	0	0	0	0	0	0	0	6.8	0	37	44
KO_ura3.1_0.525_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1673G	0	0	250	0.525	0	0	0	0	0	0	0	0	0	0	6.8	0	37	63.617
KO_trh3.2_0.1949_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1816G	0	0	250	0.1949	0	0	0	0	0	0	0	0	0	0	6.8	0	37	15.35
KO_trh3.2_0.295_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1816G	0	0	250	0.295	0	0	0	0	0	0	0	0	0	0	6.8	0	37	26.45
KO_trh3.2_0.5673_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1816G	0	0	250	0.5673	0	0	0	0	0	0	0	0	0	0	6.8	0	37	44
KO_trh3.2_1.3887_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1816G	0	0	250	1.3887	0	0	0	0	0	0	0	0	0	0	6.8	0	37	63.617
KO_ura3_0.1716_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1673G	0	0	250	0.1716	0	0	0	0	0	0	0	0	0	0	6.8	0	37	15.35
KO_ura3_0.3207_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1673G	0	0	250	0.3207	0	0	0	0	0	0	0	0	0	0	6.8	0	37	26.45
KO_ura3_0.4308_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1673G	0	0	250	0.4308	0	0	0	0	0	0	0	0	0	0	6.8	0	37	44
KO_ura3_0.5084_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	VNG1673G	0	0	250	0.5084	0	0	0	0	0	0	0	0	0	0	6.8	0	37	63.617
NRC-1_0.1779_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	0	0	0	250	0.1779	0	0	0	0	0	0	0	0	0	0	6.8	0	37	15.35
NRC-1_0.3279_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	0	0	0	250	0.3279	0	0	0	0	0	0	0	0	0	0	6.8	0	37	26.45
NRC-1_0.3882_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	0	0	0	250	0.3882	0	0	0	0	0	0	0	0	0	0	6.8	0	37	44
NRC-1_1.0338_vs_NRC-1_h1.sig	0	0	0	0	0	0	0	0	0	0	250	1.0338	0	0	0	0	0	0	0	0	0	0	6.8	0	37	63.617
